ID_QUESTAO,LABEL_QUESTAO,ENUNCIADO_QUESTAO,ALTERNATIVA_A,ALTERNATIVA_B,ALTERNATIVA_C,ALTERNATIVA_D,ALTERNATIVA_E
112,0,"É possível identificar adulterantes do leite de vaca por meio da adição do indicador azul de
bromofenol. A presença de agentes oxidantes provoca a descoloração do indicador, mantendo
a cor branca na amostra, característica do leite. Substâncias redutoras presentes no leite
reagem com o azul de bromofenol, gerando a cor verde. A diminuição do valor de pH do leite
torna o indicador amarelo. Em pH mais elevado, o indicador adquire a cor violeta e, em meio
neutro, a cor azul. Considere que um lote industrial de leite em embalagem longa vida foi
adulterado com excesso de soda cáustica.
Em uma inspeção sanitária do lote adulterado, qual será a cor apresentada pelo leite após
adição do indicador azul de bromofenol?",Azul,Verde,Violeta,Branco,"Amarelo
"
113,0,"Considere um banco de dados (Quadro 1) que apresenta sequências hipotéticas de DNA
de duas áreas de extrativismo permitido (A1 e A2) e  duas  áreas  de  conservação (B1 e B2).
Um órgão de fiscalização ambiental recebeu uma denúncia anônima de que cinco lojas
moveleiras (1, 2, 3, 4 e 5) estariam comercializando produtos fabricados com madeira oriunda
de áreas onde a extração é proibida. As sequências de DNA das amostras dos lotes
apreendidos nas lojas moveleiras foram determinadas (Quadro 2).
Quadro 1
Quadro 2
MIRANDA, N. E. O.; ALMEIDA JÚNIOR, E. B. A.; COLLEVATTI, R. G. A genética contra os crimes ambientais:
identificação de madeira ilegal proveniente de unidades de conservação utilizando marcador molecular. 
Genética na Escola, v. 9, n. 2, 2014 (adaptado).
Qual loja moveleira comercializa madeira exclusivamente de forma ilegal?","de duas áreas de extrativismo permitido (A1 e A2) e  duas  áreas  de  conservação (B1 e B2).
Um órgão de fiscalização ambiental recebeu uma denúncia anônima de que cinco lojas
moveleiras (1, 2, 3, 4 e 5) estariam comercializando produtos fabricados com madeira oriunda
de áreas onde a extração é proibida. As sequências de DNA das amostras dos lotes
apreendidos nas lojas moveleiras foram determinadas (Quadro 2).
Quadro 1
Quadro 2
MIRANDA, N. E. O.; ALMEIDA JÚNIOR, E. B. A.; COLLEVATTI, R. G. A genética contra os crimes ambientais:
identificação de madeira ilegal proveniente de unidades de conservação utilizando marcador molecular. 
Genética na Escola, v. 9, n. 2, 2014 (adaptado).
Qual loja moveleira comercializa madeira exclusivamente de forma ilegal?",2,3,4,"5
"
114,0,"Em 2012, a Empresa Brasileira de Pesquisa Agropecuária (Embrapa) divulgou sua
intenção de trabalhar na clonagem de espécies ameaçadas de extinção no Brasil, como é o
caso do lobo-guará, da onça-pintada e do veado-catingueiro. Para tal, células desses animais
seriam coletadas e mantidas em bancos de germoplasma para posterior uso. Dessas células
seriam retirados os núcleos e inseridos em óvulos anucleados. Após um desenvolvimento
inicial in vitro, os embriões seriam transferidos para úteros de fêmeas da mesma espécie. Com
a técnica da clonagem, espera-se contribuir para a conservação da fauna do Cerrado e, se der
certo, essa aplicação pode expandir-se para outros biomas brasileiros.
Disponível em: www.bbc.co.uk. Acesso em: 8 mar. 2013 (adaptado).
A limitação dessa técnica no que se refere à conservação de espécies é que ela",gera clones haploides inférteis.,aumenta a possibilidade de mutantes.,leva a uma diminuição da variabilidade genética.,acarreta numa perda completa da variabilidade fenotípica.,"amplia o número de indivíduos sem capacidade de realizar diferenciação celular.
"
115,0,"O desfibrilador salva vidas de pessoas que são acometidas por ataques cardíacos
ou arritmias. Ele dispõe de um capacitor que pode ser carregado por uma fonte com uma alta
tensão. Usando o desfibrilador, pode-se fornecer energia ao coração, por meio de um choque
elétrico, para que ele volte a pulsar novamente em seu ritmo normal. Um socorrista dispõe de
um desfibrilador com capacitor de 70 microfarads que pode armazenar cerca de 220 J de
energia, quando conectado a uma tensão de 2 500 V.
O valor da carga armazenada por esse desfibrilador, em coulomb, é de","0,015.","0,088.","0,175.","3,15.","11,4.
"
116,0,"Diversos brinquedos são constituídos de pilhas ligadas a um motor elétrico. A figura
mostra uma pilha e um motor acoplados, em que ε representa a força eletromotriz (FEM) da
pilha, ε’ representa a força contraeletromotriz (FCEM) do motor e r e r’ são resistências
internas. Um problema comum que danifica esses brinquedos é o travamento do eixo do
motor.
O que ocorre com a FCEM e com a energia fornecida pelas pilhas, que ocasiona danos ao
motor, quando seu eixo de rotação é travado?","A FCEM iguala-se com a FEM e toda a energia fornecida pela pilha fica armazenada
no circuito.","A FCEM sofre grande aumento e toda a energia fornecida pela pilha passa a ser
dissipada na forma de calor.","A FCEM inverte a polaridade e toda a energia fornecida pela pilha é devolvida para ela
na forma de energia potencial.","A FCEM reduz-se a zero e toda a energia fornecida pela pilha passa a ser dissipada
na resistência interna do motor.","A FCEM mantém-se constante e toda a energia fornecida pela pilha continua sendo
transformada em energia mecânica.
"
117,0,"Fenômenos epigenéticos levam a modificações do DNA e das histonas, que influenciam o
remodelamento da cromatina e, consequentemente, a disponibilização ou não de genes para a
transcrição.
ARRUDA, I. T. S. Epigenética. Genética na Escola, n. 1, 2015 (adaptado).
Esses fenômenos atuam na",regulação da expressão gênica.,alteração nas sequências de bases.,correção de mutações em determinados genes.,associação dos ribossomos ao RNA mensageiro.,"alteração nas sequências dos aminoácidos das histonas.
"
118,0,"O elemento ferro é essencial em nossa alimentação, pois ajuda a prevenir doenças como
a anemia. Normalmente, na alimentação é ingerido na forma de Fe3+, sendo necessário o uso
de agentes auxiliares de absorção, como o ácido ascórbico (vitamina C), cuja ação pode ser
representada pelo esquema reacional a seguir.
A ação do ácido ascórbico ocorre por meio de uma reação de",eliminação.,substituição.,oxirredução.,neutralização.,"hidrogenação.
"
119,0,"Para assegurar a boa qualidade de seu produto, uma indústria de vidro analisou um lote
de óxido de silício (SiO2), principal componente do vidro. Para isso, submeteu uma amostra
desse óxido ao aquecimento até sua completa fusão e ebulição, obtendo ao final um gráfico de
temperatura T (°C) versus tempo t (min). Após a obtenção do gráfico, o analista concluiu que a
amostra encontrava-se pura.
Dados do SiO2: Tfusão = 1 600 °C; Tebulição = 2 230 °C.
Qual foi o gráfico obtido pelo analista?",B,C,D,"E
",
120,0,"A rotação de culturas, juntamente com a cobertura permanente e o mínimo revolvimento
do solo, compõem os princípios básicos do sistema de plantio direto. O aumento da
diversidade biológica do solo contribui para a estabilidade da produção agrícola por causa de
diversos fatores, entre eles o processo de fixação biológica de nitrogênio, realizado por
bactérias.
FRANCHINI, J. C. et al. Importância da rotação de culturas para a produção agrícola sustentável no Paraná.
Londrina: Embrapa Soja, 2011 (adaptado).
Nesse processo biológico, ocorre a transformação de",N2 em NH3.,NO3− em N2.,NH3 em NH4+.,NO2− em NO3−.,"NH4+ em NO2−.
"
121,0,"O custo de implantação de redes de transmissão aumenta linearmente com a distância da
hidroelétrica, de modo que a partir de uma certa distância, o uso de energia solar fotovoltaica,
que não depende da distância, é favorecido. Assim, em regiões isoladas da Amazônia, como é
muito caro levar energia elétrica produzida por hidroelétricas através de redes de transmissão,
o uso  da  energia  solar  fotovoltaica  torna-se uma alternativa viável.
E
Dessa forma, o gráfico que representa qualitativamente os custos do uso de energia solar 
fotovoltaica (ESF) e da implantação de redes de transmissão (RT) em função da distância é",B,C,"D
",,"Dessa forma, o gráfico que representa qualitativamente os custos do uso de energia solar 
fotovoltaica (ESF) e da implantação de redes de transmissão (RT) em função da distância é"
122,0,"Os objetos de prata tendem a escurecer com o tempo, em contato com compostos de
enxofre, por causa da formação de uma película superficial de sulfeto de prata (Ag2S), que é
escuro. Um método muito simples para restaurar a superfície original desses objetos é
mergulhá-los em uma solução diluída aquecida de hidróxido de sódio (NaOH), contida em uma
panela comum de alumínio. A equação química que ilustra esse processo é:
3 Ag2S (s) + 2 Al (s)  + 8 NaOH (aq) → 6 Ag (s) + 3 Na2S (aq) + 2 NaAlO2 (aq) + 4 H2O (l)
A  restauração do objeto de prata ocorre por causa do(a)","prata, que reduz o enxofre.","íon sulfeto, que sofre oxidação.","íon hidróxido, que atua como agente oxidante.","alumínio, que atua como agente redutor no processo.","variação do pH do meio reacional, que aumenta durante a reação.
"
123,0,"O reagente conhecido como Kastle-Meyer é muito utilizado por investigadores criminais
para detectar a presença de sangue. Trata-se de uma solução aquosa incolor, preparada com
zinco metálico, hidróxido de sódio (Reação 1) e indicador (Reação 2). Essa solução, quando
em contato com a hemoglobina contida no sangue e na presença de água oxigenada (Reação
3), passa de incolor para vermelha, indicando a presença de sangue no local, conforme as
reações descritas.
DIAS FILHO, C. R.; ANTEDOMENICO, E. A perícia criminal e a interdisciplinaridade no ensino de ciências naturais.
Química Nova na Escola, n. 2, maio 2010 (adaptado).
A mudança de coloração que indica a presença de sangue ocorre por causa da reação do
indicador com o(a)",sal de Na2[Zn(OH)4] na presença de hemoglobina.,água produzida pela decomposição da água oxigenada.,hemoglobina presente na reação com a água oxigenada.,gás oxigênio produzido pela decomposição da água oxigenada.,"gás hidrogênio produzido na reação do zinco com hidróxido de sódio.
"
124,0,"Pesquisadores delimitaram Unidades Evolutivas Significativas (UES) de cinco espécies
pertencentes a diferentes grupos de vertebrados, distribuídos em oito áreas distintas, como
mostra o quadro. Cada UES representa uma população isolada histórica e geneticamente
diferenciada e apresenta prioridade para manejo e conservação.
MIRANDA, N. E. O.; ALMEIDA JR., E. B.; COLLEVATTI, R. G. Priorizando áreas para a conservação com base em
Unidades Evolutivas Significativas (ESU). Genética na Escola, n.1, 2015 (adaptado).
Considerando a área 4, a espécie que terá prioridade nas estratégias de conservação pertence
a que grupo?",Ave,Anfíbio,Roedor,Lagarto,"Morcego
"
125,0,"Um pesquisador colocou a mesma quantidade de solução aquosa da enzima digestiva
pepsina em cinco tubos de ensaio. Em seguida, adicionou massas iguais dos alimentos
descritos no quadro. Os alimentos foram deixados em contato com a solução digestiva durante
o mesmo intervalo de tempo.
A maior quantidade de produtos metabolizados ao final do teste foi obtida no tubo",I.,II.,III.,IV.,"V.
"
126,0,"A composição de um dos refrigerantes mais ácidos mundialmente consumido é mantida
em segredo pelos seus produtores. Existe uma grande especulação em torno da ""fórmula""
dessa bebida, a qual envolve algumas das seguintes substâncias:
A substância presente nesse refrigerante, responsável pelo seu acentuado caráter ácido, é a",I.,II.,III.,IV.,"V.
"
127,0,"No final do século XIX, muitos cientistas estavam interessados nos intrigantes fenômenos
observados nas ampolas de raios catódicos, que são tubos sob vácuo em que se ligam duas
placas a uma fonte de alta tensão. Os raios catódicos passam através de um orifício no ânodo
e continuam o percurso até a outra extremidade do tubo, onde são detectados pela
fluorescência produzida ao chocarem-se com um revestimento especial, como pode ser
observado na figura. Medições da razão entre a carga e a massa dos constituintes dos raios
catódicos mostram que a sua identidade independe do material do cátodo ou do gás dentro
das ampolas.
CHANG, R.;  GOLDSBY, K. A. Química. Porto Alegre: Bookman, 2013 (adaptado).
Essa radiação invisível detectada nas ampolas é constituída por",ânions.,cátions.,prótons.,elétrons.,"partículas alfa.
"
128,0,"Uma nova e revolucionária técnica foi desenvolvida para a edição de genomas. O
mecanismo consiste em um sistema de reconhecimento do sítio onde haverá a mudança do
gene combinado com um mecanismo de corte e reparo do DNA. Assim, após o
reconhecimento do local onde será realizada a edição, uma nuclease corta as duas fitas de
DNA. Uma vez cortadas, mecanismos de reparação do genoma tendem a juntar as fitas
novamente, e nesse processo um pedaço de DNA pode ser removido, adicionado ou até
mesmo trocado por outro pedaço de DNA.
Nesse contexto, uma aplicação biotecnológica dessa técnica envolveria o(a)",diagnóstico de doenças.,identificação de proteínas.,rearranjo de cromossomos.,modificação do código genético.,"correção de distúrbios genéticos.
"
129,0,"Em uma das etapas do processo de produção de iogurte, esquematizado na figura, ocorre
a mudança da consistência característica do leite, de líquido para gel.
ROBERT, N. R. Disponível em: www.respostatecnica.org.br. Acesso em: 26 fev. 2012 (adaptado).
Em qual etapa ocorre essa mudança de consistência?",1,2,3,4,"5
"
130,0,"As pilhas recarregáveis, bastante utilizadas atualmente, são formadas por sistemas que
atuam como uma célula galvânica, enquanto estão sendo descarregadas, e como célula
eletrolítica, quando estão sendo recarregadas.
Uma pilha é formada pelos elementos níquel e cádmio e seu carregador deve fornecer
uma diferença de potencial mínima para promover a recarga. Quanto maior a diferença de
potencial gerada pelo carregador, maior será o seu custo. Considere os valores de potencial
padrão de redução dessas espécies:
Ni2+ (aq) + 2 e− 
 Ni (s)
E° = −0,230 V
Cd2+ (aq) + 2 e− 
 Cd (s)
E° = −0,402 V
Teoricamente, para que um carregador seja ao mesmo tempo eficiente e tenha o menor preço,
a diferença de potencial mínima, em volt, que ele deve superar é de","0,086.","0,172.","0,316.","0,632.","1,264.
"
131,0,"O leite UHT (do inglês Ultra-High Temperature) é o leite tratado termicamente por um
processo que recebe o nome de ultrapasteurização. Elevando sua temperatura
homogeneamente a 135 °C por apenas 1 ou 2 segundos, o leite é esterilizado sem prejudicar
significativamente seu sabor e aparência. Desse modo, ele pode ser armazenado, sem a
necessidade de refrigeração, por meses. Para alcançar essa temperatura sem que a água que
o compõe vaporize, o leite é aquecido em alta pressão. É necessário, entretanto, resfriar o leite
rapidamente para evitar o seu cozimento. Para tanto, a pressão é reduzida subitamente, de
modo que parte da água vaporize e a temperatura diminua.
O processo termodinâmico que explica essa redução súbita de temperatura é a",convecção induzida pelo movimento de bolhas de vapor de água.,emissão de radiação térmica durante a liberação de vapor de água.,expansão livre do vapor de água liberado pelo leite no resfriamento.,conversão de energia térmica em energia química pelas moléculas orgânicas.,"transferência de energia térmica durante a vaporização da água presente no leite.
"
132,0,"Um produtor de morangos notou, no início da manhã, que em alguns pontos das
extremidades das folhas dos morangueiros ocorriam gotículas de água. Procurando
informação a respeito do fenômeno, o agricultor descobre que isso é também observado em
outras plantas herbáceas de pequeno porte.
Esse fenômeno fisiológico ocorre em condições de elevada umidade do ar e",escassez de sais minerais.,abundante suprimento hídrico.,abundante período de transpiração.,ausência de resistência estomática.,"ausência de substâncias impermeabilizantes.
"
133,0,"BTU é a sigla para British Thermal Unit (Unidade Térmica Inglesa), que é definida como a
quantidade de calor necessária para elevar a temperatura de 1 libra (0,45 kg) de água de 59,5
°F a 60,5 °F sob pressão constante de 1 atmosfera. A unidade BTU é utilizada, de forma
errônea, por diversos profissionais como sendo a potência de resfriamento do aparelho.
RODITI, I. Dicionário Houaiss de Física. Rio de Janeiro: Objetiva, 2005 (adaptado).
Como se pode representar corretamente a unidade de potência com base na definição de
BTU?",BTU × h−1,BTU × m2,BTU × h−1 × m2,BTU × h,"BTU × m−2
Matemática e suas Tecnologias
"
134,0,"We are now a nation obsessed with the cult of celebrity. Celebrities have replaced the
classic notion of the hero. But instead of being respected for talent, courage or
intelligence, it is money, style and image the deciding factors in what commands respect.
Image is everything. Their image is painstakingly constructed by a multitude of different
image consultants to carve out the most profitable celebrity they can. Then society is right
behind them, believing in everything that celebrity believes in. Companies know that
people will buy a product if a celebrity has it too. It is as if the person buying the product
feels that they now have some kind of connection with the celebrity and that some of their
perceived happiness will now be passed onto the consumer. So to look at it one way, the
cult of celebrity is really nothing more than a sophisticated marketing scheme. Celebrities
though cannot be blamed for all negative aspects of society. In reality society is to blame.
We are the people who seemed to have lost the ability to think for ourselves. I suppose it’s
easier to be told what to think, rather than challenging what we are told. The reason we
are swamped by celebrity is because there is a demand for it.
Disponível em: www.pitlanemagazine.com. Acesso em: 7 dez. 2017 (adaptado).
O texto, que aborda questões referentes ao tema do culto à celebridade, tem o objetivo de",destacar os méritos das celebridades.,criticar o consumismo das celebridades.,ressaltar a necessidade de reflexão dos fãs.,culpar as celebridades pela obsessão dos fãs.,"valorizar o marketing pessoal das celebridades.
"
135,0,"The British (serves 60 million)
Take some Picts, Celts and Silures 
And let them settle, 
Then overrun them with Roman conquerors. 
Remove the Romans after approximately 400 years 
Add lots of Norman French to some 
Angles, Saxons, Jutes and Vikings, then stir vigorously. 
 […] 
Sprinkle some fresh Indians, Malaysians, Bosnians, 
Iraqis and Bangladeshis together with some 
Afghans, Spanish, Turkish, Kurdish, Japanese 
And Palestinians 
Then add to the melting pot. 
Leave the ingredients to simmer. 
As they mix and blend allow their languages to flourish 
Binding them together with English. 
Allow time to be cool. 
Add some unity, understanding, and respect for the future, 
Serve with justice 
And enjoy.
 
Note: All the ingredients are equally important. Treating one ingredient better than another
will leave a bitter unpleasant taste.
Warning: An unequal spread of justice will damage the people and cause pain. Give
justice and equality to all.
Disponível em: www.benjaminzephaniah.com. Acesso em: 12 dez. 2018 (fragmento).
Ao descrever o processo de formação da Inglaterra, o autor do poema recorre a
características de outro gênero textual para evidenciar",a riqueza da mistura cultural.,um legado de origem geográfica.,um impacto de natureza histórica.,um problema de estratificação social.,"a questão da intolerância linguística.
"
136,0,"Becoming
Back in the ancestral homeland of Michelle Obama, black women were rarely granted
the honorific Miss or Mrs., but were addressed by their first name, or simply as “gal” or
“auntie” or worse. This so openly demeaned them that many black women, long after they
had left the South, refused to answer if called by their first name. A mother and father in
1970s Texas named their newborn “Miss” so that white people would have no choice but
to address their daughter by that title. Black women were meant for the field or the kitchen,
or for use as they saw fit. They were, by definition, not ladies. The very idea of a black
woman as first lady of the land, well, that would have been unthinkable.
Disponível em: www.nytimes.com. Acesso em: 28 dez. 2018 (adaptado).
A crítica do livro de memórias de Michelle Obama, ex-primeira-dama dos EUA, aborda a
história das relações humanas na cidade natal da autora. Nesse contexto, o uso do
vocábulo “unthinkable” ressalta que",a ascensão social era improvável.,a mudança de nome era impensável.,a origem do indivíduo era irrelevante.,o trabalho feminino era inimaginável.,"o comportamento parental era irresponsável.
"
137,0,"SIPRESS. Disponível em: www.newyorker.com. Acesso em: 12 jun. 2018.
A presença de “at odds with” na fala da personagem do cartum revela o(a)",necessidade de acessar informações confiáveis.,dificuldade de conciliar diferentes anseios.,desejo de dominar novas tecnologias.,desafio de permanecer imparcial.,"vontade de ler notícias positivas.
"
138,0,"Exterior: Between The Museums — Day
CELINE
Americans always think Europe is perfect. But such beauty and history can be really
oppressive. It reduces the individual to nothing. It just reminds you all the time you are just
a little speck in a long history, where in America you feel like you could be making history.
That’s why I like Los Angeles because it is so…
JESSE
Ugly?
CELINE
No, I was going to say “neutral”. It’s like looking at a blank canvas. I think people go to
places like Venice on their honeymoon to make sure they are not going to fight for the first
two weeks of their marriage because they’ll be too busy looking around at all the beautiful
things. That’s what people call a romantic place — somewhere where the prettiness will
contain your primary violent instinct. A real good honeymoon spot would be like
somewhere in New Jersey.
KRIZAN, K.; LINKLATER, R. Before Sunrise: screenplay. New York: Vintage Books, 2005.
Considerando-se o olhar dos personagens, esse trecho do roteiro de um filme permite
reconhecer que a avaliação sobre um lugar depende do(a)",beleza do próprio local.,perspectiva do visitante.  ,contexto histórico do local.,tempo de permanência no local.,"Americans always think Europe is perfect. But such beauty and history can be really
oppressive. It reduces the individual to nothing. It just reminds you all the time you are just
a little speck in a long history, where in America you feel like you could be making history.
That’s why I like Los Angeles because it is so…
JESSE
Ugly?
CELINE
No, I was going to say “neutral”. It’s like looking at a blank canvas. I think people go to
places like Venice on their honeymoon to make sure they are not going to fight for the first
two weeks of their marriage because they’ll be too busy looking around at all the beautiful
things. That’s what people call a romantic place — somewhere where the prettiness will
contain your primary violent instinct. A real good honeymoon spot would be like
somewhere in New Jersey.
KRIZAN, K.; LINKLATER, R. Before Sunrise: screenplay. New York: Vintage Books, 2005.
Considerando-se o olhar dos personagens, esse trecho do roteiro de um filme permite
reconhecer que a avaliação sobre um lugar depende do(a)"
139,0,"Um asteroide de cerca de um mil metros de diâmetro, viajando a 288 mil quilômetros
por hora, passou a uma distância insignificante — em termos cósmicos — da Terra, pouco
mais do dobro da distância que nos separa da Lua. Segundo os cálculos matemáticos, o
asteroide cruzou a órbita da Terra e somente não colidiu porque ela não estava naquele
ponto de interseção. Se ele tivesse sido capturado pelo campo gravitacional do nosso
planeta e colidido, o impacto equivaleria a 40 bilhões de toneladas de TNT, ou o
equivalente à explosão de 40 mil bombas de hidrogênio, conforme calcularam os
computadores operados pelos astrônomos do programa de Exploração do Sistema Solar
da Nasa; se caísse no continente, abriria uma cratera de cinco quilômetros, no mínimo, e
destruiria tudo o que houvesse num raio de milhares de outros; se desabasse no oceano,
provocaria maremotos que devastariam imensas regiões costeiras. Enfim, uma visão do
Apocalipse.
Disponível em: http://bdjur.stj.jus.br. Acesso em: 23 abr. 2010.
Qual estratégia caracteriza o texto como uma notícia alarmante?",A descrição da velocidade do asteroide.,A recorrência de formulações hipotéticas.,A referência à opinião dos astrônomos.,A utilização da locução adverbial “no mínimo”.,"A comparação com a distância da Lua à Terra.
"
